,学科,科目,学员性别,学员年龄,薪酬水平,乘车补贴,学员状态,就读学校,教授时间,blank,居住区域,交通线路,blank,性别要求,需求人数,资格要求1,资格要求2,教学方式,状态
252,物理家教,初二家教,女,,400/2h,无,开学初，提前预习初三的内容，物理基础还可以，复习预习,上外,一周2次，一次两个小时 周三周五下午和周六周日没有空，其他时间都可以的，开学是平时晚上上课,,,中山北路花园路交界附近，8号线,,无,1人,在职教师，学员上门，接受虹口区那边上门,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['已关闭']
253,英语家教,高一家教,女,,600/2h,无,双胞胎，基础中等，提高，开学高二,长岛中学,一周2-3次，一次2小时，时间可以协商,,,长岛路800弄张杨北路,,女,1人,在职教师，教学经验多一点的，耐心一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
254,英语家教,初一家教,男,,350/2h,无,英语不是很好，考试60多分，开学初一,协和双语小学,一周2次，时间协商,,,普洱路都市路,,无,1人,在职教师，耐心，认真 有补课经验的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
255,英语数学家教,六年级家教,男,,150/2h,无,开学初一，提前预习初一的知识,上海大学附属学校,一周3-4次，一次2个小时，白天,,,聚丰园路祁连欣苑,,女,1人,在校教员，有辅导经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
256,语文和数学家教,五年级家教,男,10岁,140/2h,无,"补差型,开学五年级，语文字词默写很差，阅读理解不好，数学计算错误高 开学5年级  基础不好",漕河新开发区小学,一周1-2次 每次2小时 目前就可以开始,,漕河泾开发区,地铁9号线漕河泾开发区站下，走路5分钟虹梅路,,无,1人,在校教员，有补课经验的 名校的最好 对上海教材熟悉的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
257,英语数学家教,三年级家教,男,,120/2h,无,开学四年级 作业辅导 成绩一般,华师大附小,暑假周一到周五下午时间协商15-26号期间时间需要调整 一周4-5次 一次2小时,,,同普路丹巴路东侧交界附近，13号线真北路步行500米,,男,1人,在校教员，有补习辅导经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
258,游泳家教,初二家教,男,,100/h,无,有学过泳，会四个泳姿，增强速度,新复兴,一周两次，周一三五，下午3；30-5；30，一次2个小时，,,,四平路大连路,,男,1人,在校教员，有辅导经验的，耐心一点，擅长经验，,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
259,数学家教,高二家教,男,,200/2h,无,成绩一般，从高二上学期开始补,上理工附属中学,7.17开始一周一次，一次两个小时，时间可商,,平凉路,平凉路宁武路,,无,1人,在校教员，有辅导经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
260,英语家教,初一家教,女,,400/2h,无,9月份升初二，孩子成绩还可以100分的卷子考70分，提高,控江初级,周天白天，一周一次，一次两个小时。,,控江新村,隆昌路辽源东路交界附近，12号线隆昌路,,女,1人,在职教师，有补课经验的，负责一点的。,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['已关闭']
261,数学英语家教,四年级家教,男,,140/2h,无,开学五年级成绩一般,闵行实验,一周2次，时间协商,,,"畹町路春申路交界附近，1,5号线春申路下来转车",,无,1人,在校教员，有补课经验的，有家教经验的优先 上海本地人在上海读书的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
262,英语家教,六年级家教,男,,150/2h,无,开学初一 主要辅导语法阅读首字母，中考错题讲解,民办学校,暑假周一早上9-11点 一周1次 一次2小时,,莘庄,沁春路中春路,,无,1人,在校教员，有补习经验，耐心一点，英语专业的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
263,陪读家教,幼儿家教,女,,140/2h,无,"孩子比较听话，主要是陪孩子玩
给小朋友读绘本，教小朋友认字，带小朋友做一下幼儿园的逻辑题 （书和资料家长都会准备）",国际学校,"一周5次，一次2小时，
时间可以协商",,七宝,宜山路龙茗路交界附近，9号线出来5分钟,,无,1人,在校教员，有丰富的辅导经验稍微专业的，耐心一些，幼教专业毕业优先，有舞蹈特长更好,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
264,放学辅导语数英作业家教,二年级家教,女,,180/2h,无,语文基础差，英语数学不错，很开朗,复旦小学,1周五次，周一，周二，周五，4:00-6：00 周三，四7:00-9：00,,上海影城,番禺路新华路,,女,1人,在校教员，喜欢小孩，有爱心，有经验的，陪读有效果，,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
265,语文数学家教,二年级家教,女,,140/2h,无,开学三年级 成绩一般 写作刷题,,暑假8号开始 一周1-2次 一次2小时,,,北艾路下南路交界附近，13下南路步行5-10分钟,,女,1人,在校教员，有辅导经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
266, 语文 英语家教,初一家教,男,,300/2H,无,成绩不是很好 基础的,,"暑假里面 
一周2次 一次2H",,月浦,月浦镇沈巷东钱宅交界附近，可以折中的公共场合,,无,1人,在校教员，有辅导经验的，耐心 负责,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['已关闭']
267,数学家教,五年级家教,男,,140/2h,无,开学五年级 想要辅导一下奥数 家里有奥数教材 讲一下奥数知识点,莘松小学,8月份一周3次每次2小时,,莘庄,疏影路中春路交界附近，12号出站10中之内 1号线远一点,,无,1人,有补课经验的经验 有耐心 数学经验丰富的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
268,数学珠心算家教,一年级家教,女,,150/1h,协商,开学二年级 零基础 100以内的加减乘,,暑假一周3次以上 一次2小时,,浦江,浦秀路陈杭公路交界附近，在线辅导,,无,1人,在职教师，补习家教经验丰富 珠心算一定要带过的,学员要求看简历，有意向的教员请认真完善简历。,在线辅导,['已关闭']
269,物理家教,初三家教,女,,160/2h,无,开学高一，预习新课,新华初级中学,一周一次，一次两个 小时，周末,,,凉城路汶水路交界附近，3号线,,女,1人,在校教员，耐心，有经验，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
270,全科家教,五年级家教,女,,270,无,复习前四年级，预习五年级,华东师范小学,一周五次周一至周五下午,,,场中路上飞大道,,女,1人,在校教员，江浙沪人优先，有丰富的辅导经验,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
271,英语家教,高二家教,男,,协商,无,小孩成绩一般，需要辅导提高成绩，性格活泼。,行知中学,一周1-2次，一次2小时，时间可商,,,共江路共康交界附近，1号线通河下,,女,1人,在校教员，有补课经验的上海籍在校大学生，经验丰富有耐心的，带过类似的家教。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
272,练弹琴并陪做思维题家教,幼儿家教,男,,160/2h,无,5岁 思维训练的作业 钢琴刚启蒙 钢琴 陪练,,暑假里面 一个小时练琴一个小时陪做功课 一周2-3次,,花木,浦建路杨高南路交界附近，2.4 号线,,女,1人,在校教员，可以看着孩子练钢琴 有经验的 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
273,英语家教,初三家教,男,,120/2h,无,"9月份高一，主要是背背单词,会自然拼读的。",控江民办中学,暑假全周，一周2次，一次两个小时。,,,明星路嫩江路交界附近，8号线嫩江路,,无,1人,在校教员，男女不限，有经验的就可以的，上海的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
274,英皇乐理家教,一年级家教,男,,协商,无,一直在弹琴，乐理学了第一本,国际学校,一周一次，一次一个小时，周六的15:30-16:30,,,古北家乐福,,无,1人,有经验，耐心，带过英皇的乐理,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
275,英语口语家教,幼儿家教,女,,240/2H,无,英语的口语 一对二,,一周需要3次 一次2H 上课时间在傍晚 7点左右 家长要长期合作的,,世纪公园,东方路世纪公园交界附近，2号线科技馆,,女,1人,在校教员，有这方面经验的，年轻一点漂亮一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
276,大提琴陪练  家教,一年级家教,男,,协商,无,学了半年，陪练，初次考级,卢湾区一中心,"7.8-7.19一二四五晚上一个半小时
20号后每周1-2次，一次一个小时，时间可以协商",,,淡水路太仓路交界附近，1  10  12新天地站,,无,1人,在校教员，有补课经验的，阳光一点的 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
277,语文 数学 地理家教,高一家教,男,,220/2H,无,开学高一 补习人教版的教材 回安徽读书的,徐教院附中,暑假里面 一周3次 一次2H,,植物园,龙吴路黄石路交界附近，上海植物园4号门隔壁,,男,2人,在校教员，有辅导经验的，耐心，负责，,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
278,全科家教,二年级家教,女,,120/2h,无,9月份升3年级。成绩在及格边缘，补差。补3门功课的。也包括作业。,,暑假全周，一周4次，一次两个小时。周一到周四下午1点到3点,,,水电路奎照路交界附近，3号线江湾镇下来5分钟可到,,女,1人,在校教员，有补课经验的，耐心的。好学校的学生。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
279,语文，历史家教,初二家教,男,,150/2h,无,语文历史一般，性格开朗,新复兴,一周一次，周二四六下午，或晚上,,,四平路大连路,,无,1人,在校教员，有辅导经验的，耐心一点，文科生，擅长历史语文,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
280,化学家教,高二家教,男,,220/2h,无,成绩一般，从高二上学期开始补,上理工附属中学,7.17开始一周一次，一次两个小时，时间可商,,平凉路,平凉路宁武路,,无,1人,在校教员，有辅导经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
281,英语家教,初二家教,女,,120/2H,无,开学初三 成绩一般 复习预习,长宁新世纪,暑假周一到周五一周2次 一次2小时,,,虹桥中园哈密路,,女,1人,在校教员，有补习经验的，负责一点的，英语专业的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
282,英语家教,幼儿家教,男,,140/2h,无,开学中班，外面机构学过一点的 2个孩子,5岁,暑假时间协商，一周2次,,七宝,新镇路宝南路,,女,1人,在校教员，有经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
283,数学，英语家教,初三家教,男,16岁,150/2h,无,开学补差型 英语和数学挺不好的，这次考试75.5和60,,暑假里面 一次2H 一周2次,,青浦镇,交界附近，夏阳街道浦汇新村,,男,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['已关闭']
284,化学家教,初二家教,女,,160/2H,无,开学初三 预习初三化学课本知识,致远中学,暑假一周2次 平时下午3点可开始,,,灵山路蓝天路交界附近，9号线蓝天路下来,,女,1人,一定要有补习家教经验的，负责一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
285,英语家教,初二家教,男,,400/2h,无,学习成绩一般,,暑假开始，一周2次,,,西康路宜昌路交界附近，7号线,,男,1人,专职教师，有辅导经验 ，幽默风趣，能与学生沟通,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
286,全科+钢琴陪练家教,一年级家教,女,7,180/2h,无,钢琴4级水平，学了2年。打算考英皇2级。主要不是考级还是练习。辅导作业的。（一个小时辅导作业，一个小时陪练）。,,周一三四晚上，一周1~2，一次2个小时。,,世纪公园,丁香路锦绣路交界附近，2号线芳甸路站一公里,,女,1人,在校教员，有补课经验，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
287,英语家教,初三家教,女,,350/2h,无,9月份高一，初中英语比较薄弱，所以要补差。湖北读书的。人教版教材。,,7月26日开始，一周6次，一次两个小时。,,,环城西路大叶公路交界附近，5号线萧塘站,,女,1人,在职教师，有补课经验的，有耐心的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
288,数学家教,六年级家教,女,,协商,无,开学初一，物理需要预习新课，数学拓展思维，数学为主,公立,暑假一周2-3次，一次两个小时，时间可以协商，开学一周一次,,,瞿溪路蒙自路交界附近，4号线  13号线,,无,1人,在校教员，有辅导奥数经验，大学生奥数老师,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
289,启蒙教育家教,幼儿家教,女,6,120/2h,无,数学 唱歌 背唐诗认数字 读绘本，有教材，孩子比较调皮。（6岁女孩）,,135下午4-6点   一周3次 ，一次两个小时。,,,河南南路复兴东路交界附近，8号线豫园站，老西门站,,女,1人,在校教员，有补课经验的 最好带过小宝宝的 可延长期带最好。要严厉的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
290,英语家教,高一家教,男,,150/2h,无,开学高二，学习新课，巩固基础,,一周2次左右，一次两个小时，二四六日晚上,,,平型关路广中路,,无,1人,在校教员，有经验，耐心，擅长英语,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
291,数学 雅思家教,初二家教,男,,700/2h,无,开学初三数学(已学完） 雅思,,暑假每科一周1次 时间都可协商 一次2小时,,,天钥桥路交界附近，11/4号线上海游泳馆5分钟,,无,2人,在职教师，有耐心的老师 补习经验丰富,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
292,钢琴陪练家教,四年级家教,男,,200/2H,无,孩子8月份考10级,,暑假里每天2小时，帮助小朋友过10级,,,广州路杨浦大桥附近,,无,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
293,语文家教,六年级家教,男,,350/2h,无,开学6年级 ，提前学习 成绩中等,,暑假里面 周一到周五 白天一周一次 一次2H,,花木,龙阳路杨高南路交界附近，4号线蓝村路换一部公交可到10分钟,,无,1人,在职教师，有补课经验的，有耐心的老师。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
294,物理家教,初二家教,男,12,400/2H,无,开学初三 基础还行，提早学习初三的内容,南模,"周一到周五晚上8：30-10：30一次 双休日上午2次固定 
一周3次 一次2个小时",,徐家汇,虹桥路番禹路交界附近，1/9/11/3/4号线,,无,1人,在职教师，有辅导经验的 有能力 最好是好点学校的老师,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
295,钢琴陪练家教,幼儿家教,女,6,200/1h,无,9月一年级，学了2年，没考过级。进度一直上不去，孩子有点厌学了。,,周六周日上午，一周一次，一次一个小时。,,,龙茗路虹莘路交界附近，9号线星中路92路公交1站路,,女,1人,在职教师，有补课经验的，负责一点的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
296,数学家教,三年级家教,男,9,400/2.5h,无,开学四年级，复习为主，奥数1年级开始学,上外,下周可以开始上课，每天晚上两个小时，7.4-7.17不上课,,,政悦路殷行路交界附近，10号线新江湾城站,,无,1人,专职教师，有补课经验的，耐心一些，负责一点的 表达能力要清晰,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
297,英语家教,三年级家教,男,,300/2h,无,一般，成绩班级中等偏下，补差，提高。,公立学校,6月15日开始周六下午，一周一次，一次两个小时。暑假后期协商。,,,汶水东路水电路交界附近，3号线大柏树可到,,无,1人,在职教师，有补课经验的。孩子比较调皮，要严厉的，课程要生动的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
298,幼儿数学思维家教,幼儿家教,女,,300/1.5h,无,两个5周岁小朋友,,暑假，4:00-5:00，一周两次,,,"12号线顾戴路下来7,8分钟12号线顾戴路下来7,8分钟交界附近，12号线顾戴路下来7,8分钟",,无,1人,专职教师，有辅导经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
299,政治家教,大一家教,男,,400/2h,无,开学大二,海洋大学,暑假8月份开始一三五或二四六 一次2小时 开学后双休日也需要,,惠南,网络授课网络授课,,无,1人,在校教员，有耐心 有补习家教经验 最好是制药专业,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
